checkpoint,age_overall_accuracy,age_ambig_accuracy,age_disambig_accuracy,nationality_overall_accuracy,nationality_ambig_accuracy,nationality_disambig_accuracy,religion_overall_accuracy,religion_ambig_accuracy,religion_disambig_accuracy
3558,7.690217391304348,0.32608695652173914,15.054347826086955,0.0,0.0,0.0,0.0,0.0,0.0
3558,0.0,0.0,0.0,5.974025974025974,1.4285714285714286,10.519480519480519,0.0,0.0,0.0
3558,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,1.8333333333333333,16.833333333333332
3204,7.092391304347827,0.2717391304347826,13.91304347826087,0.0,0.0,0.0,0.0,0.0,0.0
3204,0.0,0.0,0.0,5.649350649350649,1.753246753246753,9.545454545454547,0.0,0.0,0.0
3204,0.0,0.0,0.0,0.0,0.0,0.0,9.583333333333334,1.6666666666666667,17.5
2848,7.146739130434783,0.5978260869565217,13.695652173913043,0.0,0.0,0.0,0.0,0.0,0.0
2848,0.0,0.0,0.0,5.5519480519480515,1.4935064935064934,9.61038961038961,0.0,0.0,0.0
2848,0.0,0.0,0.0,0.0,0.0,0.0,8.833333333333334,1.8333333333333333,15.833333333333332
2492,8.097826086956522,0.9782608695652175,15.217391304347828,0.0,0.0,0.0,0.0,0.0,0.0
2492,0.0,0.0,0.0,6.6558441558441555,1.6233766233766231,11.688311688311687,0.0,0.0,0.0
2492,0.0,0.0,0.0,0.0,0.0,0.0,10.583333333333334,1.6666666666666667,19.5
2136,6.059782608695652,0.32608695652173914,11.793478260869565,0.0,0.0,0.0,0.0,0.0,0.0
2136,0.0,0.0,0.0,5.422077922077921,1.6883116883116882,9.155844155844155,0.0,0.0,0.0
2136,0.0,0.0,0.0,0.0,0.0,0.0,7.666666666666666,1.6666666666666667,13.666666666666666
1780,6.820652173913043,0.5978260869565217,13.043478260869565,0.0,0.0,0.0,0.0,0.0,0.0
1780,0.0,0.0,0.0,5.422077922077921,1.5584415584415585,9.285714285714286,0.0,0.0,0.0
1780,0.0,0.0,0.0,0.0,0.0,0.0,8.5,1.3333333333333335,15.666666666666668
1424,7.690217391304348,0.21739130434782608,15.163043478260871,0.0,0.0,0.0,0.0,0.0,0.0
1424,0.0,0.0,0.0,8.214285714285714,1.948051948051948,14.48051948051948,0.0,0.0,0.0
1424,0.0,0.0,0.0,0.0,0.0,0.0,8.583333333333334,1.3333333333333335,15.833333333333332
1068,9.891304347826086,1.25,18.532608695652176,0.0,0.0,0.0,0.0,0.0,0.0
1068,0.0,0.0,0.0,9.35064935064935,1.753246753246753,16.948051948051948,0.0,0.0,0.0
1068,0.0,0.0,0.0,0.0,0.0,0.0,9.333333333333334,0.8333333333333334,17.833333333333336
712,6.576086956521738,1.7391304347826086,11.41304347826087,0.0,0.0,0.0,0.0,0.0,0.0
712,0.0,0.0,0.0,3.7337662337662336,1.6883116883116882,5.779220779220779,0.0,0.0,0.0
712,0.0,0.0,0.0,0.0,0.0,0.0,7.083333333333333,1.6666666666666667,12.5
356,14.347826086956522,13.695652173913043,15.0,0.0,0.0,0.0,0.0,0.0,0.0
356,0.0,0.0,0.0,15.909090909090908,15.519480519480519,16.2987012987013,0.0,0.0,0.0
356,0.0,0.0,0.0,0.0,0.0,0.0,13.416666666666666,11.166666666666666,15.666666666666668
